Country,GNFR,POL,Emis(kg),Reduction(%)
DE,GNFR1,NOx,274407.210958,4.000000
DE,GNFR2,NOx,179650.099090,4.000000
DE,GNFR3,NOx,83161.724506,4.000000
DE,GNFR4,NOx,335.986119,4.000000
DE,GNFR5,NOx,491.667630,4.000000
DE,GNFR6,NOx,450845.822805,4.000000
DE,GNFR7,NOx,68427.938506,4.000000
DE,GNFR8,NOx,13040.861383,4.000000
DE,GNFR9,NOx,77263.529872,4.000000
DE,GNFR10,NOx,795.990727,4.000000
DE,GNFR11,NOx,0.000000,4.000000
DE,GNFR12,NOx,25.144339,4.000000
DE,GNFR13,NOx,0.000000,4.000000
FR,GNFR1,NOx,34040.453703,4.000000
FR,GNFR2,NOx,102950.793723,4.000000
FR,GNFR3,NOx,93562.156789,4.000000
FR,GNFR4,NOx,147.833865,4.000000
FR,GNFR5,NOx,908.125285,4.000000
FR,GNFR6,NOx,512272.275562,4.000000
FR,GNFR7,NOx,20248.420966,4.000000
FR,GNFR8,NOx,8862.266422,4.000000
FR,GNFR9,NOx,97233.295445,4.000000
FR,GNFR10,NOx,2253.175385,4.000000
FR,GNFR11,NOx,0.000000,4.000000
FR,GNFR12,NOx,50.084009,4.000000
FR,GNFR13,NOx,0.000000,4.000000
IT,GNFR1,NOx,23852.966794,4.000000
IT,GNFR2,NOx,73424.546679,4.000000
IT,GNFR3,NOx,78214.852582,4.000000
IT,GNFR4,NOx,156.296318,4.000000
IT,GNFR5,NOx,4.445187,4.000000
IT,GNFR6,NOx,346527.135902,4.000000
IT,GNFR7,NOx,18975.080991,4.000000
IT,GNFR8,NOx,3907.929413,4.000000
IT,GNFR9,NOx,43607.317534,4.000000
IT,GNFR10,NOx,2019.503284,4.000000
IT,GNFR11,NOx,0.000000,4.000000
IT,GNFR12,NOx,613.205294,4.000000
IT,GNFR13,NOx,0.000000,4.000000
